,x,y,species
0,0.999892487896649,1.0,dog
1,0.020787450677917815,1.0,cat
2,1.0,2.7868013501859925e-19,cat
3,1.9956395752570794e-21,3.9431678536278854e-13,cat
4,0.9999999999973053,1.0,dog
5,9.667158323654436e-34,6.192024132377163e-29,cat
6,0.9962807928771009,1.1873937852824711e-36,cat
7,1.0,0.9999999999969857,dog
8,1.0,1.0,dog
9,1.0,1.6956806454603854e-22,cat
10,1.0,1.0,dog
11,0.9999999993916271,8.328661113154617e-43,cat
12,1.5633966514462933e-24,1.1168349541118519e-20,cat
13,1.0,0.41375590439437215,cat
14,1.0,2.1464999169117038e-18,cat
15,0.999658656990166,0.06461017137340146,cat
16,1.0,7.359858889616371e-20,cat
17,1.0,1.0,dog
18,0.9999999999999853,1.0,dog
19,1.0,1.0,dog
20,0.99999999999997,1.0,dog
21,1.0,6.274807760769775e-25,cat
22,2.6483002595405157e-11,0.07652992580025021,cat
23,8.735089465388279e-30,0.9992416124344453,cat
24,1.0,1.0,dog
25,3.492409838367861e-11,1.8908581042290027e-23,cat
26,0.9999999999999998,0.9454583438960523,dog
27,3.645487271695774e-39,1.0,cat
28,1.0,1.0,dog
29,1.1334226558811486e-30,1.0,cat
30,2.3393076960737857e-40,5.902149577320056e-25,cat
31,1.0,1.610767289728522e-19,cat
32,4.407567011797675e-30,1.0,cat
33,4.573318747329259e-19,1.8894300130480128e-16,cat
34,1.5743130423392155e-41,1.0,cat
35,3.5937648634337833e-16,1.0,cat
36,1.0,1.0,dog
37,1.0,1.0,dog
38,0.9999999999662184,1.0,dog
39,1.0,2.6336117567026675e-30,cat
40,1.0,3.4381403569709525e-20,cat
41,1.0,1.0,dog
42,0.9999835595673001,4.010054064064958e-11,cat
43,0.999973704680887,0.9999999999999996,dog
44,1.0,0.9999999998541635,dog
45,1.0,0.9955921838922838,dog
46,1.0,4.8856109611165e-43,cat
47,2.4542297954085297e-12,0.016088722727241222,cat
48,1.0,1.3154687134907921e-36,cat
49,0.9999999999998579,4.35075962275143e-28,cat
50,1.0,1.0,dog
51,0.9915252912837048,3.863657233829031e-09,cat
52,3.3604390615235446e-20,2.8271234461363604e-19,cat
53,9.023057055773391e-44,3.195800657114264e-30,cat
54,4.479410113343563e-15,8.917703600038995e-41,cat
55,3.1906303353071688e-27,8.435491396407647e-29,cat
56,3.0712804396129194e-22,2.187239507076215e-36,cat
57,0.9999999999999729,0.999999069077002,dog
58,0.3113624714524707,2.5155448698523525e-23,cat
59,0.9999999999999984,0.99180627501456,dog
60,6.686148971622214e-43,2.8672302756590655e-38,cat
61,0.999999999927242,3.045840919689686e-36,cat
62,1.0,2.5285134126126977e-30,cat
63,2.2624031659368876e-21,2.171925063987894e-38,cat
64,1.0,1.0,dog
65,1.0,2.386971058520823e-34,cat
66,8.071029922577299e-23,1.0,cat
67,3.222490416506432e-42,4.1302541638778346e-30,cat
68,3.3114201765473652e-34,1.0,cat
69,0.9749413189106728,1.180419527112368e-18,cat
70,1.0,4.2329175317352937e-13,cat
71,0.25073475004815227,0.006122547549413028,cat
72,0.9999999968784496,1.0813231332653711e-05,cat
73,3.9445633739573493e-36,0.9999996213769323,cat
74,1.9515143889249294e-22,1.0,cat
75,8.104244537711557e-43,0.00015837609124005815,cat
76,3.9050910755778137e-44,1.2183618090880686e-21,cat
77,1.0,1.0,dog
78,0.9999925179169126,2.0468310596115622e-24,cat
79,3.0647107251776294e-21,1.0,cat
80,1.0,0.2473518025107345,cat
81,1.4459354965467268e-12,9.693327834007572e-10,cat
82,1.0,1.049779886696695e-23,cat
83,1.0,4.240393160476979e-24,cat
84,1.0,3.60468335343627e-21,cat
85,0.9993694531694821,3.030984842348679e-06,cat
86,0.9999999996218314,5.933829652977544e-42,cat
87,1.0,3.750079691070146e-09,cat
88,7.594564674421237e-41,1.0,cat
89,1.4960240238779498e-27,1.0,cat
90,0.9999873606046484,1.0,dog
91,1.0,2.048987410411559e-18,cat
92,0.9859996427707954,5.727298926202618e-44,cat
93,1.0,5.422867646495102e-29,cat
94,6.043250120990353e-06,6.709601279595338e-23,cat
95,2.3080159013792275e-23,6.013717206409475e-05,cat
96,0.9883518973960714,1.0,dog
97,0.9999999999776885,0.9999999999999416,dog
98,0.2021629838252368,1.0,cat
99,1.0,1.0,dog
100,7.116419972750389e-37,1.0,cat
101,7.430140696463243e-11,6.7310980225371355e-12,cat
102,5.903070519933504e-32,5.948538019348283e-13,cat
103,0.977352257869147,0.9999442653966842,dog
104,1.0,0.9999999999919889,dog
105,2.1665254942801276e-14,2.4206827574795463e-42,cat
106,1.0,1.0,dog
107,1.7893541725950685e-16,8.255179148905183e-24,cat
108,6.154825208827911e-33,9.190294597808788e-09,cat
109,0.9997963881796662,1.0,dog
110,1.0,0.999999452323544,dog
111,0.9999999999999962,8.50392023146913e-39,cat
112,5.5978383626209076e-11,0.8658753193854448,cat
113,1.8163261033920424e-14,3.719132547363901e-16,cat
114,1.1677206427845323e-15,4.976100183100308e-30,cat
115,1.2365705509411327e-27,7.036075917172182e-20,cat
116,7.90661524941791e-07,0.9999999999999749,cat
117,1.0,0.9999999865946381,dog
118,1.0,3.4183714827007146e-30,cat
119,4.6969942553858e-24,1.0,cat
120,0.9999999992913551,1.0,dog
121,0.9999995498969244,1.0,dog
122,0.02773850902806279,3.0946819610319806e-19,cat
123,2.6291890552162624e-24,9.960196328041989e-18,cat
124,1.0,5.716753569939438e-10,cat
125,3.812838927329508e-13,8.448185886416076e-12,cat
126,3.2651901392702412e-24,1.0,cat
127,3.148112422253755e-32,1.0725990216207506e-17,cat
128,1.6029939606929233e-32,4.5250654918713816e-11,cat
129,0.9999999999907254,1.514909259134055e-09,cat
130,1.0,8.678727219981292e-40,cat
131,1.0,1.0,dog
132,1.0,1.0,dog
133,0.95236810171833,1.0,dog
134,1.0,1.0,dog
135,2.675120663058008e-41,1.0,cat
136,2.688055440262948e-15,1.0,cat
137,0.34218262723593373,1.0,cat
138,1.0,6.993323607020782e-13,cat
139,0.9997841240236458,5.694287837527683e-07,cat
140,0.9999926669077713,0.997805481745566,dog
141,8.365689395405677e-36,1.0,cat
142,2.8841928077293896e-39,1.0,cat
143,5.542112803942814e-09,1.0,cat
144,0.9999999999999696,1.0,dog
145,1.0,1.2197448169789384e-13,cat
146,2.7904131131916306e-12,0.9999999894407549,cat
147,8.928895286359933e-06,3.6521599742029074e-08,cat
148,1.0,0.9999999999995517,dog
149,1.7727834046271733e-32,4.592051040688968e-37,cat
